script_name,status,stderr,png_files,half_name,note
ATL20-01_20181101001332_05100101_004_01.h5_0,Fail,Traceback (most recent call last):,,,
ATL20-01_20181101001332_05100101_004_01.h5_1,Pass,None,,ATL20-01_2018110100133,
ATL21-01_20210301005637_10241001_003_01.h5_0,Pass,None,,ATL21-01_2021030100563,
ATL22_20210712003905_02811201_003_01.h5_0,Pass,None,,ATL22_20210712003905,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_0,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_1,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_2,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_3,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_4,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_5,Fail,Traceback (most recent call last):,,,
BUV-Nimbus04_L3zm_v01-02-2013m0422t101810.h5_6,Fail,Traceback (most recent call last):,,,
CATS-ISS_L2O_D-M7.2-V2-01_05kmLay.2017-05-01T00-47-40T01-28-41UTC.hdf5_0,Fail,Traceback (most recent call last):,,,
CATS-ISS_L2O_D-M7.2-V2-01_05kmLay.2017-05-01T00-47-40T01-28-41UTC.hdf5_1,Fail,Traceback (most recent call last):,,,
CATS-ISS_L2O_D-M7.2-V2-01_05kmLay.2017-05-01T00-47-40T01-28-41UTC.hdf5_2,Pass,None,,CATS-ISS_L2O_D-M7.2-V2-01_05kmLay.20,
DSCOVR_EPIC_L2_TO3_03_20210301005516_03.h5_0,Fail,Traceback (most recent call last):,,,
DSCOVR_EPIC_L2_TO3_03_20210301005516_03.h5_1,Fail,Traceback (most recent call last):,,,
DSCOVR_EPIC_L2_TO3_03_20210301005516_03.h5_2,Fail,Traceback (most recent call last):,,,
DSCOVR_EPIC_L2_TO3_03_20210301005516_03.h5_3,Fail,Timeout,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_0,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_1,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_2,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_3,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_4,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_5,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5_6,Fail,Traceback (most recent call last):,,,
DeepBlue-SeaWiFS_L2_20101210T135954Z_v004-20130525T172725Z.h5_0,Pass,None,,DeepBlue-SeaWiFS_L2_20101210T13,

GEOLST4KHR_201612291600_002_20210714015139.h5_0,Fail,Timeout,,,Failed and not retried

GLAH10_633_2131_001_1317_0_01_0001.H5_0,Pass,None,,GLAH10_633_2131_001,
GLAH13_633_2103_001_1317_0_01_0001.h5_0,Fail,Traceback (most recent call last):,,,
GLAH13_633_2103_001_1317_0_01_0001.h5_1,Fail,Traceback (most recent call last):,,,
GLAH13_633_2103_001_1317_0_01_0001.h5_2,Pass,None,,GLAH13_633_2103_001,
GSSTF_3_2008_12_31.he5_0,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_1,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_2,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_3,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_4,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_5,Fail,Traceback (most recent call last):,,,
GSSTF_3_2008_12_31.he5_6,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_0,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_1,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_2,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_3,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_4,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_5,Fail,Traceback (most recent call last):,,,
HIRDLS-Aura_L2_v07-00-20-c01_2008d077.he5_6,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_0,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_1,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_2,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_3,Fail,Traceback (most recent call last):,,,
